               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12094,            0.015674,                   0,             0.00025,            0.036145,          0.00015185,          5.3028e-05,             0.10944,            0.017213,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.11614,            0.016219,                   0,             0.00025,            0.036145,          0.00014601,          7.6664e-05,              0.1058,            0.017806,                   0,            0.077475,           0.0024753,           0.0024753
                   2,             0.11263,            0.018269,                   0,             0.00025,            0.036145,          0.00014484,          7.2422e-05,             0.10352,            0.018278,                   0,            0.065725,           0.0037248,           0.0037248
                   3,             0.10897,            0.017348,                   0,          0.00041667,            0.060241,          0.00026758,          8.8256e-05,             0.10183,            0.018556,                   0,            0.053949,           0.0049485,           0.0049485
                   4,             0.10769,            0.018088,                   0,           0.0010833,             0.15663,          0.00073252,          0.00015623,             0.10082,            0.018683,                   0,            0.042147,           0.0061466,           0.0061466
                   5,             0.10593,            0.018992,                   0,          0.00083333,             0.12048,           0.0011529,          0.00036257,             0.10284,             0.01851,                   0,            0.030319,           0.0073188,           0.0073188
                   6,             0.10463,            0.018136,                   0,             0.00075,             0.10843,          0.00088823,          0.00022912,             0.10934,            0.017229,                   0,            0.018465,           0.0084654,           0.0084654
                   7,             0.10652,             0.01734,                   0,          0.00091667,             0.13253,          0.00063759,          8.5548e-05,               0.119,            0.014148,                   0,            0.009307,            0.009307,            0.009307
                   8,             0.10585,            0.017361,                   0,              0.0005,            0.072289,          0.00036725,          9.9679e-05,              0.1187,            0.013758,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.10383,            0.017941,                   0,          0.00091667,             0.13253,          0.00053697,          0.00012837,             0.11106,            0.016307,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.10385,            0.017718,                   0,             0.00175,             0.25301,           0.0024639,          0.00038846,             0.10422,             0.01785,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.10124,            0.018451,                   0,             0.00125,             0.18072,            0.001117,          0.00018875,             0.11219,            0.015171,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.097973,             0.01747,                   0,           0.0019167,             0.27711,           0.0035435,          0.00077829,             0.10541,            0.016071,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.094805,            0.017637,                   0,             0.00275,             0.39759,           0.0070419,           0.0019283,            0.089973,            0.019764,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.092607,            0.018617,                   0,             0.00375,             0.54217,            0.059045,            0.011831,             0.08326,            0.020665,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.089208,            0.019113,                   0,            0.084232,            0.048193,            0.039588,           0.0072786,            0.081166,            0.020843,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.087073,            0.017407,                   0,            0.086547,            0.096386,            0.032259,           0.0075841,            0.082215,            0.021925,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.085592,            0.018264,                   0,            0.022724,             0.45783,            0.017603,           0.0052386,             0.08006,            0.022531,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.086476,            0.019089,                   0,            0.048978,             0.19277,            0.037046,            0.010799,             0.08176,            0.022157,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.084408,            0.017599,                   0,             0.09626,             0.21687,            0.057913,            0.016081,            0.081049,            0.023797,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.08301,            0.018856,                   0,            0.093838,             0.21687,            0.051373,            0.014956,            0.087435,            0.021992,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.081666,            0.018746,                   0,             0.13714,             0.16867,             0.09358,            0.029184,            0.079679,            0.022839,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.079611,            0.019425,                   0,             0.17755,             0.16867,             0.10238,             0.02307,             0.08395,            0.023788,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.079485,            0.019309,                   0,             0.20198,             0.18072,            0.095315,            0.022914,            0.080466,            0.024665,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.080904,            0.018041,                   0,              0.0563,            0.060241,            0.019106,           0.0038291,              0.0792,            0.025318,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.079195,            0.019598,                   0,             0.20422,             0.12048,            0.080201,            0.020893,            0.077127,            0.024915,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.074377,            0.017577,                   0,             0.22643,             0.19277,             0.12335,            0.024333,            0.077164,            0.023024,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.077499,            0.017763,                   0,             0.14681,             0.16867,            0.075908,            0.021194,            0.076608,            0.020605,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.07937,            0.019041,                   0,             0.28666,             0.17436,             0.13525,            0.043554,            0.073695,            0.019761,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.077562,            0.017977,                   0,             0.21078,             0.21687,             0.13827,            0.042973,            0.076411,             0.01942,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.079187,            0.018722,                   0,             0.13229,             0.15663,            0.069782,            0.022962,            0.075063,            0.020779,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.078444,             0.01914,                   0,             0.15843,             0.20482,            0.095267,             0.02987,             0.07518,            0.019667,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.076382,            0.017945,                   0,             0.20694,             0.21687,             0.14881,            0.045128,            0.071986,            0.019374,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.07466,            0.017762,                   0,             0.21346,             0.20482,             0.15333,            0.045184,            0.073172,            0.018887,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.072314,            0.018538,                   0,             0.18951,             0.24096,              0.1265,            0.039761,             0.07211,            0.019424,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.074085,            0.017036,                   0,             0.26261,             0.27711,             0.16275,            0.041431,            0.071073,            0.019616,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.073642,            0.018072,                   0,              0.1759,             0.19277,             0.10033,            0.031613,            0.070526,            0.018899,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.069233,            0.017737,                   0,             0.24058,             0.25301,             0.17059,            0.059413,            0.067587,            0.018959,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.067158,            0.017679,                   0,             0.22612,             0.24096,             0.15909,            0.051328,            0.068281,            0.019001,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.069423,            0.016584,                   0,              0.2392,             0.25301,             0.16648,            0.051277,            0.071274,            0.018775,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.069126,            0.018927,                   0,             0.26236,             0.26506,             0.17545,            0.061816,            0.068692,            0.018176,                   0,            0.006139,            0.006139,            0.006139
